;mae;mse;rmse;mape;n
SANSED01#C09Sd02;137.715404179744;19358.7051083146;139.135563779771;0.424495390556572;5
SANSED01#C09Sd03;56.7802829358948;3917.96941878487;62.5936851350427;0.119879381556303;5
SANSED01#C10Sd01;95.7927123575632;9944.92343645505;99.724236955993;0.874830469592295;5
SANSED01#C10Sd02;127.977579345572;16416.8481060638;128.128248665405;0.474119602679489;5
SANSED01#C10Sd03;59.2996646232435;3672.85266547936;60.604064760372;0.432842450648426;5
SANSED01#C11Sd01;59.0038438556303;3818.42324957472;61.7933916335293;0.533888370858048;5
SANSED01#C11Sd02;89.0541428239816;8066.68999778664;89.8147537868175;0.392937978682174;5
SANSED01#C11Sd03;32.3399327790162;1321.74042409839;36.3557481575939;0.177869214337431;5
SANSED01#D08Sd01;482.011149297714;232838.55057791;482.533470940525;0.630951119026472;5
SANSED01#D08Sd02;209.024544475589;70311.9480695899;265.164002212951;0.307199650706731;5
SANSED01#D08Sd03;664.52993572013;441693.158773074;664.599999076944;144.977941956255;5
SANSED03#F06Sd01;49.6190027079083;2561.10309620947;50.6073423152161;0.0772002250303717;5
SANSED03#F06Sd02;48.7009437685596;3043.27729527686;55.1659070013071;0.0853786423980403;5
SANSED03#F06Sd03;23.2792206741638;609.437157475706;24.6867810270133;0.0377445440997406;5
SANSED03#F07Sd01;138.100792232288;19407.9601209955;139.312455010295;0.544498537087248;5
SANSED03#F07Sd02;7.19882630797566;86.6224306184206;9.30711720235759;0.0208786741548579;5
SANSED03#F07Sd03;59.1406858467744;3839.92561101393;61.9671333128613;0.148684334325332;5
SANSED03#F08Sd01;112.831063900425;14385.4058973827;119.939175824176;0.59876561061728;5
SANSED03#F08Sd02;71.6920471582129;5542.83286445584;74.4502039248775;0.207010302070055;5
SANSED03#F08Sd03;107.247432535103;13757.4692527763;117.292238672371;0.594858309027398;5
SANSED03#F09Sd01;75.8116923158565;5810.27952788878;76.2251895890642;0.257536176114088;5
SANSED03#F09Sd02;175.625086226096;30853.9931339388;175.653047607887;1.6265992943425;5
SANSED03#F09Sd03;66.5797266509496;4451.00464487326;66.7158500273605;0.23554772539159;5
SANSED03#F10Sd01;5.71195027516864;42.987135066089;6.55645750890593;0.0452233392830145;5
SANSED03#F10Sd02;6.09285406434636;56.7475596019036;7.53309761000769;0.0460126575987326;5
SANSED03#F10Sd03;46.8021922237114;2191.54194776825;46.8139076319019;0.488807923099005;5
SANSED03#F11Sd01;12.8184311123041;285.34806007619;16.8922485204365;0.186436523196491;5
SANSED03#F11Sd02;47.8973249465862;2367.47585666023;48.6567144046968;1.30619691121632;5
SANSED03#F11Sd03;2.44484716657058;7.2035802818798;2.68394863622235;0.0384035694862841;5
SANSED03#P03Sd01;8.32465633772077;256.043110999063;16.0013471620068;0.0512395752264192;5
SANSED03#P03Sd02;29.7848437169464;1011.87832118124;31.8100349132351;0.203063902299932;5
SANSED03#P03Sd03;13.2065127858397;337.52892576744;18.3719603136802;0.0820598962338017;5
SANSED03#P04Sd01;24.8434558222131;733.745129550866;27.0877302399235;0.288639120948825;5
SANSED03#P04Sd02;38.6356934501217;1499.53331577855;38.7238081259908;0.289545827048084;5
SANSED03#P04Sd03;13.9720031156095;266.694563895487;16.330785770914;0.146705689646312;5
SANSED03#P05Sd01;18.1373690982625;356.103670259949;18.8707093205303;0.221196527621135;5
SANSED03#P05Sd03;9.83822535674602;126.876364974475;11.2639409166808;0.109757444974758;5
SANSED03#P05Sd02;18.984760738256;370.069889630046;19.237200670317;0.167912119512807;5
SANSED03#P06Sd01;4.30556251899957;19.3646461891772;4.40052794436954;0.0464502870150479;5
SANSED03#P06Sd02;57.2273614387055;3366.28654100764;58.0197082120174;1.32194895797279;5
SANSED03#P06Sd03;56.0979188160687;3229.01782437425;56.8244474181162;0.418813711127176;5
SANSED03#P07Sd01;15.7819556518873;309.835126163047;17.6021341366054;0.199921273941523;5
SANSED03#P07Sd02;43.8031489706985;1927.00499045206;43.8976649772179;0.356876688341355;5
SANSED03#P07Sd03;25.6525495768813;712.49323190215;26.6925688516889;0.359776166478205;5
SANSED03#P08Sd01;49.9801335277494;2499.37985929061;49.9937982082839;4.08899011221996;5
SANSED03#P08Sd02;8.63201973665563;76.4938186610295;8.74607447150032;0.201772989525933;5
SANSED03#P08Sd03;18.4638050866469;362.208666647116;19.0317804381807;0.281035631860722;5
SANSED03#P09Sd01;30.7790438942059;989.518432612655;31.4566119061264;0.129687792647929;5
SANSED03#P09Sd02;118.98557663921;14175.5591110979;119.061157020659;0.895125032015115;5
SANSED03#P09Sd03;33.5735622003412;1252.04790656839;35.3842889792686;0.138782179425385;5
SANSED03#P10Sd01;12.1367916841994;279.154088997776;16.7079049852989;0.119751430837085;5
SANSED03#P10Sd02;16.5281568101001;306.209811803328;17.4988517281371;0.182320000032334;5
SANSED03#P10Sd03;35.3676799381555;1378.40862212226;37.1269258372176;0.45989587529437;5
SANSED06#A01Sd01;32.0181485372763;1192.79442161789;34.5368559891876;0.0580493884017047;5
SANSED06#A01Sd02;425.050829170037;182766.254417289;427.511700912722;1.65921541044553;5
SANSED06#A01Sd03;95.0193168738444;11987.6105134287;109.487946886535;0.165545689786283;5
SANSED06#A02Sd01;165.888694311974;29202.6096108173;170.88771053185;0.239677475799154;5
SANSED06#A02Sd02;194.979127337225;38313.6460721846;195.738718888687;0.283166139996093;5
SANSED06#A02Sd03;427.174352004332;183765.245877275;428.678487770584;0.376123263998059;5
SANSED06#A03Sd01;523.010033528365;287968.07823573;536.626572427912;1.3547860149505;5
SANSED06#A03Sd02;47.7366140850023;3838.90799795207;61.9589218591808;0.0556925862000309;5
SANSED06#A03Sd03;607.351855243101;371659.003393621;609.63842020793;0.465469390911884;5
SANSED06#A04Sd01;170.514218828778;29236.9817438156;170.988250309241;0.311735461605528;5
SANSED06#A04Sd02;19.4750252286606;505.539803051045;22.4842123066619;0.0283043098559412;5
SANSED06#A04Sd03;113.657628899489;13805.3752685492;117.496277679547;0.148086418364058;5
SANSED06#A05Sd01;116.806916284258;14074.872085235;118.637566079362;1.89545325443395;5
SANSED06#A05Sd02;63.0539105504602;4079.20737955403;63.8686729121095;0.612901306291918;5
SANSED06#A05Sd03;26.8217320174761;928.188322096305;30.4661832544923;0.163047515968075;5
SANSED06#B01Sd02;653.9672557531;427892.044611985;654.134576835673;0.447096693582572;5
SANSED06#B01Sd03;361.241333651426;155542.812410882;394.389163658032;0.470355238705664;5
SANSED06#B02Sd01;420.489823795577;177955.645654658;421.847893979166;0.316454518309634;5
SANSED06#B02Sd02;143.98135750714;27003.3430059223;164.326939379769;0.153644964337779;5
SANSED06#B02Sd03;153.873332550258;32420.0276689695;180.055623819334;0.169926649019834;5
SANSED06#B03Sd01;203.606016348604;45030.6069348822;212.204163330699;0.306579354495816;5
